State ,Centre ,Variety , Unit,JAN 2017,FEB 2017,MAR 2017,APR 2017,MAY 2017,JUN 2017,JUL 2017,AUG 2017,SEP 2017,OCT 2017,NOV 2017,DEC 2017,JAN 2018,FEB 2018,MAR 2018,APR 2018,MAY 2018,JUN 2018,JUL 2018,AUG 2018,SEP 2018,OCT 2018,NOV 2018,DEC 2018,JAN 2019,FEB 2019,MAR 2019,APR 2019,MAY 2019,JUN 2019,JUL 2019,AUG 2019,SEP 2019,OCT 2019,NOV 2019,DEC 2019,JAN 2020,FEB 2020,MAR 2020,APR 2020,MAY 2020,JUN 2020,JUL 2020,AUG 2020,SEP 2020,OCT 2020,NOV 2020,DEC 2020,JAN 2021,FEB 2021,MAR 2021,APR 2021,MAY 2021,JUN 2021,JUL 2021,AUG 2021,SEP 2021,OCT 2021,NOV 2021,DEC 2021,JAN 2022,FEB 2022,MAR 2022,APR 2022,MAY 2022,JUN 2022,JUL 2022,AUG 2022,SEP 2022,OCT 2022,NOV 2022,DEC 2022
Goa,Panaji,Kalyan HYV,Kg.,30,30,32,30,30,30,30,30,30,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,34,35,32,36,34,33,33,33,33,32,33,32,33,33,36,36,37,35,37,36,38,38,39,40,40,38,38,39,38,35,38,38,39,40,39,41
Gujarat,Gandhi Nagar,Desi,Kg.,,20,20,19,20,20,19,20,19,19,19,19,20,20,20,19,18,20,22,22,23,24,24,24,24,24,22,22,22,21,22,24,23,23,24,25,25,24,23,23,22,22,21,21,20,22,23,23,22,24,25,26,24,24,24,24,24,26,25,25,25,26,27,30,28,28,29,28,28,28,32,32
Gujarat,Gandhi Nagar,Kalyan HYV,Kg.,25,23,22,22,23,23,23,23,22,22,22,22,23,24,23,23,23,24,25,25,26,26,26,26,26,26,24,25,25,24,25,27,26,26,28,28,28,27,26,25,24,25,25,24,23,25,26,25,25,26,27,28,26,26,26,26,26,28,27,27,28,28,30,34,30,31,33,33,33,33,35,36
Gujarat,Rajkot,Desi,Kg.,,23,20,20,20,20,20,20,19,18,18,19,20,20,19,19,18,20,20,20,21,21,22,22,23,21,21,20,21,20,22,22,22,22,22,23,22,22,,,22,22,22,22,22,22,22,21,22,22,22,21,21,22,22,21,22,21,23,21,21,22,23,29,27,29,26,26,26,27,27,28
Gujarat,Rajkot,Kalyan HYV,Kg.,,25,23,22,22,22,22,23,21,21,22,21,22,22,21,21,20,22,23,23,24,25,25,24,25,24,23,23,24,24,23,26,25,25,25,27,25,25,,,24,24,24,24,24,24,25,24,24,24,24,23,23,24,24,23,24,23,25,23,23,24,26,32,29,31,30,30,30,32,30,34
Gujarat,Surat,Desi,Kg.,,22,21,20,20,20,20,22,20,19,19,19,19,19,18,18,18,18,20,22,21,21,22,21,23,22,20,20,18,18,19,21,21,22,22,24,22,27,,,22,30,30,27,30,30,28,30,29,30,30,30,30,30,29,30,30,31,31,31,30,31,29,30,30,28,28,26,26,29,27,27
Gujarat,Surat,Kalyan HYV,Kg.,,25,23,24,23,23,23,23,22,22,21,21,22,21,21,21,21,22,24,24,23,24,24,24,25,24,23,23,23,23,23,25,25,25,27,28,26,32,,,24,33,36,30,36,35,33,36,31,31,31,31,31,31,30,31,31,32,32,32,32,32,32,32,31,31,32,32,32,33,30,33
Gujarat,Vadodra,Desi,Kg.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,27,28,27,28,27,28,,,26,27,28,24,24,24,24,25,25,26,27,27,27,27,28,28,28,28,29,29,29,29,32,33,31,32,33,33,35,35,35,35
Gujarat,Vadodra,Kalyan HYV,Kg.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,28,29,28,29,28,29,,,28,29,29,27,27,27,27,28,27,28,29,29,29,29,30,30,30,30,32,32,32,32,35,37,34,35,37,37,37,38,36,36
Haryana,Hissar,Desi,Kg.,,,,,,,,,,,,,,,,,,,,,,,,,20.8,20.7,20.7,19.5,20.1,20.2,20.8,21.1,21.5,21.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haryana,Hissar,Kalyan HYV,Kg.,23,23,22,,,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.7,22.9,22.5,21.7,,,20.5,20.3,20.1,19.5,18.8,19.4,20,20,19.5,19.5,20,21.5,21.5,20,19.2,20,21.5,21.9,22,22,22.5,22.5,23,22.3,22,21.5,23.5,24,24.4,26,27.4,
Haryana,Karnal,Desi,Kg.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,22,24,25,25.5,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haryana,Karnal,Kalyan HYV,Kg.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.5,26.2,25.5,24.5,24.5,24.5,24,24,24,22,22,22,22,22,22.5,22,22,22.5,22.5,22.5,23.5,22,22.15,22.5,22.5,22.5,23,25,25,
Himachal Pradesh,Mandi,Desi,Kg.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,22,22,22,22,22,22,22,22,22,22,22,26,26,26,,
Himachal Pradesh,Shimla,Desi,Kg.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,
Jammu Kashmir,Jammu,Desi,Kg.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,23,23,23,22,22,22,22,22,22,22,22,22,22,23,23,25,25,25,26,26,28,26,25,25,27,27,27,30,31,
Jammu Kashmir,Jammu,Kalyan HYV,Kg.,22,22,22,22,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21,22,22,22,22,22,22,22,22,22,22,23,24,24,25,25,25,24,24,25,,,23,23,23,23,22,22,22,22,22,22,22,22,22,22,23,23,25,25,25,26,26,28,26,25,25,27,27,27,30,31,
Jammu Kashmir,Shrinagar,Kalyan HYV,Kg.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,30,30,30,30,,,35,35,35,35,35,35,40,40,45,45
Jharkhand,Dhanbad,Desi,Kg.,,,,,,,,,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,29,29,29,29,29,29,29,29,29,32,29,26,26,26,23,23,22,22,25,26,26,23,22,26,25,26,27,28,28,28,29,29,29,29,29,30,30,31,30,30,32,34
Jharkhand,Dhanbad,Kalyan HYV,Kg.,,,,,,,,,24,24,24,24,24,24,24,24,24,24,24,26,26,26,26,26,26,26,26,26,24,24,24,24,24,24,24,26,26,26,26,28,23,23,23,24,21,20,21,21,22,22,22,21,21,23,23,24,24,25,25,26,26,25,25,25,25,26,28,29,28,28,30,32
Jharkhand,Ranchi,Desi,Kg.,28,28,28,28,28,26,26,28,28,28,28,28,28,28,28,26,26,26,26,26,26,26,28,28,28,28,28,28,28,28,28,28,28,30,30,32,32,32,32,32,29,29,28,28,28,28,30,30,28,28,28,28,27,30,28,28,28,29,29,31,31,30,30,30,30,32,32,33,32,32,33,34
Jharkhand,Ranchi,Kalyan HYV,Kg.,27,27,27,24,24,22,22,24,24,24,24,24,24,24,24,22,24,24,24,24,24,24,25,25,25,25,25,25,25,26,27,27,27,27,27,28,28,28,30,30,28,28,27,27,26,26,27,27,26,26,26,25,24,27,26,26,26,27,27,29,29,28,28,28,28,30,30,31,30,30,31,32
Karnataka,Bangalore,Kalyan HYV,Kg.,32,34,35,32,34,34,34,32,34,33,33,33,33,32,32,34,32,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,32,31,32,33,33,34,34,35,35,35,35,36,35,35,35,35,35,35,35,36,36,36,36,36,36,40,40,40
Karnataka,Bijapur,Desi,Kg.,,,,32,,,40,40,40,40,40,40,40,40,40,40,40,40,40,40,,40,40,40,40,45,50,40,50,50,45,42,40,40,40,40,45,45,,,40,45,60,60,70,60,60,55,50,60,50,55,60,60,60,60,80,80,80,80,75,75,65,55,55,55,55,55,55,55,55,55
Karnataka,Bijapur,Kalyan HYV,Kg.,,,,26,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,,30,30,30,30,30,30,30,32,35,30,36,35,35,32,34,36,36,,,35,40,40,40,40,40,40,50,35,40,30,35,40,40,40,40,35,35,35,35,35,35,40,40,40,40,40,40,40,40,40,40
Karnataka,Hubli,Desi,Kg.,,,32,32,30,30,30,26,26,26,26,26,26,28,28,28,28,28,28,28,28,26,28,30,30,30,30,30,32,30,28,28,28,30,30,30,30,,,,,,,,,,,,,,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
Karnataka,Hubli,Kalyan HYV,Kg.,,,33,33,32,36,36,28,28,28,28,28,26,28,26,26,29,30,30,30,30,30,30,32,32,30,30,31,30,30,30,29,29,30,30,30,30,,,,,,,,,,,,,,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
Karnataka,Tumkur,Desi,Kg.,,,,,,,,,,,,,,,,,,,,30,28,30,35,32,32,30,30,28,32,30,32,32,30,30,32,30,35,35,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karnataka,Tumkur,Kalyan HYV,Kg.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
